"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579134481000","0.00","6.91","2632.00","50.62","0.66","0.00","481.20","0.00","1.71","0.00","104.00","0.18","1.71"
"1579134491000","0.00","11.52","4190.80","28.93","0.40","0.00","680.60","0.00","4.52","0.00","289.70","1.31","4.52"
"1579134501000","0.00","10.78","3018.40","45.77","0.82","0.00","527.60","0.00","1.85","0.00","131.90","0.24","1.85"
"1579134511000","0.00","9.39","2456.40","52.60","1.01","0.00","458.00","0.00","2.79","0.00","93.40","0.26","2.79"
"1579134521000","0.00","7.84","2859.60","45.68","0.63","0.00","503.50","0.00","1.96","0.00","125.20","0.25","1.96"
"1579134531000","0.00","6.93","3504.00","26.86","0.27","0.00","558.70","0.00","5.17","0.00","260.90","1.35","5.17"
"1579134541000","0.00","7.90","2584.00","47.72","0.73","0.00","465.40","0.00","1.93","0.00","108.30","0.21","1.93"
"1579134551000","0.00","9.48","3374.80","44.17","0.62","0.00","595.50","0.00","1.56","0.00","152.80","0.24","1.56"
"1579134561000","0.00","6.33","3470.00","26.57","0.24","0.00","543.40","0.00","4.53","0.00","261.20","1.18","4.53"
"1579134571000","0.00","16.09","2856.40","46.26","1.30","0.00","511.80","0.00","26.89","0.00","123.50","3.32","26.89"
"1579134581000","0.00","7.91","2826.00","47.38","0.66","0.00","524.60","0.00","1.44","0.00","119.30","0.17","1.44"
"1579134591000","0.00","8.02","3780.80","27.18","0.29","0.00","610.90","0.00","4.81","0.00","278.20","1.34","4.81"
"1579134601000","0.00","12.47","2792.40","49.03","1.09","0.00","513.10","0.00","2.24","0.00","113.90","0.25","2.24"
"1579134611000","0.00","16.67","3279.20","47.52","1.21","0.00","597.60","0.00","3.66","0.00","138.00","0.50","3.66"
"1579134621000","0.00","8.90","3760.40","27.49","0.33","0.00","606.70","0.00","4.86","0.00","273.60","1.33","4.86"
"1579134631000","0.00","8.47","2814.00","49.28","0.74","0.00","516.00","0.00","1.82","0.00","114.20","0.21","1.82"
"1579134641000","0.00","8.18","2871.20","49.80","0.71","0.00","522.50","0.00","1.55","0.00","115.30","0.18","1.55"
"1579134651000","0.00","8.87","3998.40","28.57","0.32","0.00","643.60","0.00","9.39","0.00","279.90","2.63","9.39"
"1579134661000","0.00","7.84","3092.11","51.37","0.65","0.00","550.35","0.00","1.71","0.00","120.38","0.21","1.71"
